,Time,User,Tweet
35,2022-08-30 14:05:45+00:00,E6_MRVN,"RT @Element6GG: Today we are parting ways with @TrixX1020 as a content creator for @Element6GG 

It was a pleasure working with you and we…"
36,2022-08-30 14:05:18+00:00,Element6GG,"Today we are parting ways with @TrixX1020 as a content creator for @Element6GG 

It was a pleasure working with you… https://t.co/cjXqxlNp70"
37,2022-08-30 14:01:00+00:00,ApexStats_,"-RP/AP Threshold for Apex Predator-

Platform: BR / Arenas
PC: 25,960 RP / 8,328 AP
PlayStation: 20,844 RP / 9,084… https://t.co/RXjpGp1uRz"
38,2022-08-30 14:00:00+00:00,ApexStats_,"-RP/AP Threshold for Apex Predator-

Platform: BR / Arenas
PC: 25,960 RP / 8,328 AP
PlayStation: 20,844 RP / 9,084… https://t.co/YWrRj4pv04"
39,2022-08-30 13:55:44+00:00,Witherrss1,Doing some mental health strength training with Solo Q Apex legends https://www.twitch. tv/ witherrss #mentalhealth… https://t.co/B1Nqcog2J9
40,2022-08-30 13:54:15+00:00,ConflictedBacon,"RT @officialpxndu: First Apex tournament today with the bois! 😁 @spxrkle_fps x @uuhGhosts 

Super excited and cannot wait to shoot some hea…"
41,2022-08-30 13:51:31+00:00,GaaraMcLovin47,Mfs who use Bloodhound or Seer &lt;&lt;&lt;&lt;  #ApexLegends
42,2022-08-30 13:47:31+00:00,CLIPSC0,"RT @Houston3r1: Where my Apex Streamers at?! Drop the twitch link in comments. 
I feel like supporting some people! 
👀👀

#apex #TwitchStrea…"
43,2022-08-30 13:45:41+00:00,ApexTop10,"#ApexLegends TOP10
🥇 (65,992) ChaoticMuch
🥈 (64,226) Effect
🥉 (61,390) E6_Slayers
4⃣ (56,080) HRZN Liphnn
5⃣ (52,41… https://t.co/WQMcDfNMvG"
44,2022-08-30 13:44:15+00:00,StreamerWallcom,RT @ickiestXsticky: Going #live on #stream come check me out! Running some #ApexLegends #TwitchStreamers tapin #PS4share #PS4live #SupportS…
45,2022-08-30 13:44:04+00:00,ickiestXsticky,Going #live on #stream come check me out! Running some #ApexLegends #TwitchStreamers tapin #PS4share #PS4live… https://t.co/AWGkHB1Bz8
46,2022-08-30 13:15:30+00:00,KnRaiCos,"I just played a game as Bloodhound in pubs and a SEER straight up turned to me and ask me to SCAN.

👁️👄👁️

MY GUY??? 
#ApexLegends"
47,2022-08-30 13:12:26+00:00,ApexTOP10_JPN,"#ApexLegends TOP10 in JPN
🥇 (51,326) tttcheekyttt_SBI
🥈 (46,445) Nth_ReyzyGG
🥉 (46,302) Nth_satuki
4⃣ (45,145) Curi… https://t.co/ZAdY5MAvIn"
48,2022-08-30 13:00:00+00:00,ApexStats_,"-RP/AP Threshold for Apex Predator-

Platform: BR / Arenas
PC: 20,639 RP / 8,328 AP
PlayStation: 20,695 RP / 9,084… https://t.co/0OIc4jLInl"
49,2022-08-30 12:53:43+00:00,MapRotationBot,"Current:
Kings Canyon at 21:30-23:00

Next:
Storm Point at 23:00-00:30

#ApexLegends #マップローテーション"
50,2022-08-30 12:49:01+00:00,YoItzCxrey,"Day 47 of asking @PlayApex to make me a voice actor ♻️⚜️

#apex #ApexLegends #apexlegendsmobile #ApexLedgends #apexvoiceactor"
51,2022-08-30 12:31:56+00:00,Rocks89107523,"RT @Rocks89107523: There should be a penalty for casual jumpmasters to enhance gameplay.

#playapex
#ApexLegends 
#hideout"
52,2022-08-30 12:26:47+00:00,sipiturakse,"RT @mokeysniper: It's an actual crime that 3x Scopes on SMG's and the Volt never got to be in the game during the same time :(
#Apexlegends"
53,2022-08-30 12:26:05+00:00,stats_live_es,"▶️ Apex Legends - Top streams a las 14:26 (Hora ESP)🔥

🥇 #DarkozTV➖Viewers: 470
🥈 #lamasbonita25➖Viewers: 17
🥉… https://t.co/SKHSGFwKRS"
54,2022-08-30 12:15:16+00:00,theMerideus,"Bruh I'm just in and out of plat. Get shit on by masters in soloq-&gt; drop to gold, have way too easy of a game-&gt;get… https://t.co/QNjKFKV0Ci"
55,2022-08-30 12:00:00+00:00,ApexStats_,"-RP/AP Threshold for Apex Predator-

Platform: BR / Arenas
PC: 26,007 RP / 8,328 AP
PlayStation: 20,845 RP / 9,084… https://t.co/CaICYDF13b"
56,2022-08-30 11:53:41+00:00,MapRotationBot,"Current:
World's Edge at 20:30-21:30

Next:
Kings Canyon at 21:30-23:00

#ApexLegends #マップローテーション"
57,2022-08-30 11:46:11+00:00,oneultralamewh1,"RT @asylumknights07: this could get controversial 

do you ____ cutscenes? 

#gaming #gamingcommunity #MinecraftLegends #CallOfDuty #Fortni…"
58,2022-08-30 11:45:42+00:00,ApexTop10,"#ApexLegends TOP10
🥇 (65,591) ChaoticMuch
🥈 (63,774) Effect
🥉 (60,777) E6_Slayers
4⃣ (56,080) HRZN Liphnn
5⃣ (52,41… https://t.co/nAlJUCkG2V"
59,2022-08-30 11:39:08+00:00,RoyaltyOGXI,"Goodmorning. ☀️ I can’t wait to get off work, get on apex and get one clipped by R301’s. 👍🏼😂

#ApexLegends @PlayApex"
60,2022-08-30 11:28:15+00:00,Rocks89107523,"There should be a penalty for casual jumpmasters to enhance gameplay.

#playapex
#ApexLegends 
#hideout"
61,2022-08-30 11:21:48+00:00,officialpxndu,"First Apex tournament today with the bois! 😁 @spxrkle_fps x @uuhGhosts 

Super excited and cannot wait to shoot som… https://t.co/qKsxrkNd9o"
62,2022-08-30 11:16:05+00:00,stats_live_es,"▶️ Apex Legends - Top streams a las 13:16 (Hora ESP)🔥

🥇 #DarkozTV➖Viewers: 569
🥈 #lamasbonita25➖Viewers: 27
🥉… https://t.co/W22YnEhRqe"
63,2022-08-30 11:12:25+00:00,ApexTOP10_JPN,"#ApexLegends TOP10 in JPN
🥇 (51,119) tttcheekyttt_SBI
🥈 (45,981) Nth_satuki
🥉 (45,857) Nth_ReyzyGG
4⃣ (44,593) Curi… https://t.co/9k5NzDHlhH"
64,2022-08-30 11:00:00+00:00,ApexStats_,"-RP/AP Threshold for Apex Predator-

Platform: BR / Arenas
PC: 25,938 RP / 8,000 AP
PlayStation: 20,679 RP / 9,084… https://t.co/GXiby3PXLb"
65,2022-08-30 10:53:41+00:00,MapRotationBot,"Current:
Storm Point at 19:30-20:30

Next:
World's Edge at 20:30-21:30

#ApexLegends #マップローテーション"
66,2022-08-30 10:51:46+00:00,HiGuns_,Dead slides are the least visually pleasing thing to watch in #ApexLegends if I didn't play the game and saw that I… https://t.co/qTXplKJRm5
67,2022-08-30 10:48:05+00:00,stats_live_es,"▶️ Apex Legends - Top streams a las 12:48 (Hora ESP)🔥

🥇 #DarkozTV➖Viewers: 631
🥈 #galavbon➖Viewers: 42
🥉… https://t.co/vqNO08PWtl"
68,2022-08-30 10:32:10+00:00,WeirdoRolo,Why does Apex mobile get so many cool new skins and all we get are the recolors of 2 year old skins??? #apexlegends
69,2022-08-30 10:27:40+00:00,ItzReo_,#ApexLegends #APEX #Xbox I love arenas but why everytime we lose a single round apex players instantly leave the ga… https://t.co/YHl27to8Hj
70,2022-08-30 10:01:00+00:00,ApexStats_,"-RP/AP Threshold for Apex Predator-

Platform: BR / Arenas
PC: 20,639 RP / 8,389 AP
PlayStation: 20,679 RP / 9,084… https://t.co/1rho2hgMYw"
71,2022-08-30 10:00:00+00:00,ApexStats_,"-RP/AP Threshold for Apex Predator-

Platform: BR / Arenas
PC: 20,639 RP / 8,389 AP
PlayStation: 20,679 RP / 9,084… https://t.co/u4hETQF8em"
72,2022-08-30 09:53:41+00:00,MapRotationBot,"Current:
Kings Canyon at 18:30-19:30

Next:
Storm Point at 19:30-20:30

#ApexLegends #マップローテーション"
73,2022-08-30 09:45:42+00:00,ApexTop10,"#ApexLegends TOP10
🥇 (65,591) ChaoticMuch
🥈 (63,774) Effect
🥉 (60,906) E6_Slayers
4⃣ (56,080) HRZN Liphnn
5⃣ (52,41… https://t.co/PIKq14ql8x"
74,2022-08-30 09:40:02+00:00,SZorgon,I have officially deleted #apexlegends I shot one kraber shot and 3 DIFFERENT TEAMS ALL SNIPED ME AT THE SAME TIME!… https://t.co/xavODBqYQW
75,2022-08-30 09:38:05+00:00,stats_live_es,"▶️ Apex Legends - Top streams a las 11:38 (Hora ESP)🔥

🥇 #DarkozTV➖Viewers: 928
🥈 #galavbon➖Viewers: 52
🥉… https://t.co/U4puoRrTjB"
76,2022-08-30 09:37:05+00:00,NoodleNut94,RT @DemonSlayersTM: If you would like to be part of a competitive and friendly community look no further! Be sure to hit us up folks and jo…
77,2022-08-30 09:09:34+00:00,ApexTOP10_PS,"#ApexLegends TOP10 on PS
🥇 (51,610) Toffu_
🥈 (48,835) rKhyzo
🥉 (47,989) Elonzy
4⃣ (42,697) Draxzs_-_
5⃣ (42,554) Tw… https://t.co/sSqphquuwc"
78,2022-08-30 09:00:00+00:00,ApexStats_,"-RP/AP Threshold for Apex Predator-

Platform: BR / Arenas
PC: 20,639 RP / 8,389 AP
PlayStation: 20,679 RP / 9,084… https://t.co/5A4ti6MVMZ"
79,2022-08-30 08:28:40+00:00,BrophersGrimm,"The return to #ApexLegends was great last night!

Had one player track my stream down just to call me a ""bitch"" for… https://t.co/by03DGHWBF"
80,2022-08-30 08:23:41+00:00,MapRotationBot,"Current:
World's Edge at 17:00-18:30

Next:
Kings Canyon at 18:30-19:30

#ApexLegends #マップローテーション"
81,2022-08-30 08:20:49+00:00,AustinC81177883,2 hour #ApexLegends stream in 40 mins! follow and support please! working towards #affiliate #twitch #Streamer
82,2022-08-30 08:05:16+00:00,hethersam,"I need some new mates on #ApexLegends !! if you wanna play drop your gamertag :] don't mind the level just be chill ❤️
#apex #gamer"
83,2022-08-30 08:00:00+00:00,ApexStats_,"-RP/AP Threshold for Apex Predator-

Platform: BR / Arenas
PC: 20,639 RP / 8,000 AP
PlayStation: 20,670 RP / 9,084… https://t.co/NcedCf3AZ6"
84,2022-08-30 07:56:48+00:00,brendnyespinosa,"Solo Q diamond is a joke, there’s just no way these ppl made diamond. U can’t convince me that platinum isn’t just… https://t.co/DVBHoCwda5"
85,2022-08-30 07:54:42+00:00,TheHawkster94,"RT @mokeysniper: We take the lvl of animation in Apex for granted.
Every Item Interaction, Tactical activation and Heirloom Inspect is just…"
86,2022-08-30 07:52:05+00:00,KingKazeUchiha,"#ApexLegends been seeing too many high ranking players do rookie mistakes :/

I do not kidd..."
87,2022-08-30 07:23:16+00:00,Tyler_RickG,"RT @JoeGarcia85: Giveaway for 9/2 
Will be giving away 2 Apex legends battlepasses

To be entered to win

Like &amp; retweet!

#Giveaway #ApexL…"
88,2022-08-30 07:22:26+00:00,SarahWlk20,"RT @JoeGarcia85: Giveaway for 9/2 
Will be giving away 2 Apex legends battlepasses

To be entered to win

Like &amp; retweet!

#Giveaway #ApexL…"
89,2022-08-30 07:21:03+00:00,FYenny01,"RT @JoeGarcia85: Giveaway for 9/2 
Will be giving away 2 Apex legends battlepasses

To be entered to win

Like &amp; retweet!

#Giveaway #ApexL…"
90,2022-08-30 07:17:51+00:00,Justtin4tide,"RT @JoeGarcia85: Giveaway for 9/2 
Will be giving away 2 Apex legends battlepasses

To be entered to win

Like &amp; retweet!

#Giveaway #ApexL…"
91,2022-08-30 07:16:56+00:00,jonahsilensgt,"RT @JoeGarcia85: Giveaway for 9/2 
Will be giving away 2 Apex legends battlepasses

To be entered to win

Like &amp; retweet!

#Giveaway #ApexL…"
92,2022-08-30 07:03:31+00:00,iTzI2eloaDz,I know there’s way better players out there in Apex Legends that are better than me but I enjoy fighting against pe… https://t.co/kitYkXpTkR
93,2022-08-30 07:00:00+00:00,ApexStats_,"-RP/AP Threshold for Apex Predator-

Platform: BR / Arenas
PC: 20,639 RP / 8,328 AP
PlayStation: 20,670 RP / 9,084… https://t.co/U3hb7Qgw5c"
94,2022-08-30 06:53:41+00:00,MapRotationBot,"Current:
Storm Point at 15:30-17:00

Next:
World's Edge at 17:00-18:30

#ApexLegends #マップローテーション"
95,2022-08-30 06:40:12+00:00,Sean22150309,Really love playing as Maggie in #ApexLegends because I pull off the absolute DUMBEST kills I possibly can as her a… https://t.co/uTuKwJBFAT
96,2022-08-30 06:00:00+00:00,ApexStats_,"-RP/AP Threshold for Apex Predator-

Platform: BR / Arenas
PC: 20,639 RP / 8,328 AP
PlayStation: 20,670 RP / 9,084… https://t.co/japPD0kNVJ"
97,2022-08-30 05:36:42+00:00,Drzayusdrzayus,"Attempting to rp

twitch. tv/doctorzayus

#ApexLegends"
98,2022-08-30 05:23:41+00:00,MapRotationBot,"Current:
Kings Canyon at 14:00-15:30

Next:
Storm Point at 15:30-17:00

#ApexLegends #マップローテーション"
99,2022-08-30 05:22:28+00:00,santigamez35,@PlayApex  can you make Control /Armed and Dangerous PERMANENT GAME MODES 😭😭😭 #apex  #ApexLegends #twitch #twitchstreamers
